$10 Mins	[#1]10 minut
$Log	[#247]Deník
$LOG	[#248]STAT.
$LOOK	[#249]PODÍVAT
$Look Sensitivity	[#250]Citlivost rozhlížení
$LUCK	[#251]ŠTĚSTÍ
$Main Menu	[#252]Hlavní nabídka
$MAIN MENU	[#253]HLAVNÍ NABÍDKA
$Make	[#254]Vyrobit:
$MAKE	[#255]VYROBIT
$MAP	[#256]MAPA
$Master	[#257]Celková
$MEDIUM	[#258]STŘEDNÍ
$Melee	[#259]Úder / Silný útok / Granát
$MOD SLOTS	[#260]SLOTY PRO MODIFIKACE
$MODIFY	[#261]MODIFIKOVAT
$More...	[#262]Více...
$Mouse Move	[#263]Pohyb myši
$MOVE	[#264]POHYB
$Move	[#265]Pohyb
$MoveMarker	[#266]Přesunout
$MoveMarkerQuestion	[#267]Učitě chceš svou značku přesunout nebo odstranit?
$MUSCULAR	[#268]SVALNATÁ
$Music	[#269]Hudba
$My Perks	[#270]MOJE PERKS
$Name:	[#271]Jméno:
$NavigateObjectives	[#272]VYBER CÍL
$NEW	[#273]NOVÁ HRA
$New Perks	[#274]VŠECHNY PERKS
$NEXT	[#275]DALŠÍ
$NEXT PERK	[#276]DALŠÍ ÚROVEŇ
$No	[#277]Ne
$NO	[#278]NE
$NoDeviceSelected	[#279]Není vybráno úložné zařízení. Musíš nějaké vybrat, než budeš moct hru uložit. Do té doby je automatické ukládání vypnuto.
$None	[#280]Žádný
$NONE	[#281]ŽÁDNÝ
$NoProfileSelected	[#282]Nejsi přihlášen k hráčskému profilu. Budeš se muset přihlásit k hráčskému profilu, abys mohl ukládat svůj postup. Chceš se teď přihlásit?
$Normal	[#283]Normální
$Object Fade	[#284]Mizení objektů
$OFF	[#285]VYP.
$OK	[#286]POTVRDIT
$ON	[#287]ZAP.
$OVERALL	[#288]Celkem
$Overwrite?	[#289]Přepsat?
$PART	[#290]ČÁST
$Pause	[#291]Pozastavení hry
$PEOPLE	[#292]LIDÉ
$PERCEPTION	[#293]VNÍMÁNÍ
$Perk_NextRankAvailable	[#294]DALŠÍ ÚROVEŇ JE DOSTUPNÁ!
$PerksLowReqs	[#295]Požadavky nejsou splněny.
$Pipboy	[#296]Pip-Boy
$PIPBOY	[#297]PIP-BOY
$PipboyColorB	[#298]Barva Pip-Boy - mod.
$PipboyColorG	[#299]Barva Pip-Boy - zel.
$PipboyColorR	[#300]Barva Pip-Boy - čer.
$PipboyConditionCategory	[#301]STAV
$PipboyPerksCategory	[#302]PERKY
$PipboySPECIALCategory	[#303]S.P.E.C.I.A.L.
$PLACE	[#304]UMÍSTIT
$Place	[#305]Umístit
$PlaceMarker	[#306]Umístit značku
$PLAY	[#307]PŘEHRÁT
$PlayerSetMarkerName	[#308]Vlastní značka
$POCKS	[#309]VYRÁŽKA
$POINT AVAILABLE	[#310]DOSTUPNÝ BOD
$POINTS AVAILABLE	[#311]DOSTUPNÉ BODY
$POSITION	[#312]POZICE
$POWER	[#313]ENERGIE
$PowerArmorMarkerName	[#314]Energozbroj
$PREPARE	[#315]PŘIPRAVIT
$PRESETS	[#316]PŘEDNASTAVENÍ
$Press a button to map to this action.	[#317]Stiskni tlačítko, které chceš k této akci přiřadit.
$Press any button to start	[#318]Pro pokračování stiskni libovolné tlačítko
$PREV	[#319]PŘEDCHOZÍ
$PREV PERK	[#320]PŘEDCHOZÍ ÚROVEŇ
$PrimaryAttack	[#321]Útok
$PRODUCES	[#322]PRODUKUJE:
$QUANTITY	[#323]MNOŽSTVÍ
$Quantity:	[#324]Množství:
$Quest	[#325]Úkol
$QUESTS	[#326]ÚKOLY
$Quick Inventory	[#327]Inventář
$Quick Magic	[#328]Magie
$Quick Map	[#329]Mapa
$Quick Stats	[#330]Stav
$QuickContainerTransfer	[#331]PROHLEDAT
$QuickData	[#332]Údaje
$QuickInventory	[#333]Inventář
$Quickkeys	[#334]Oblíbené
$Quickload	[#335]Rychlé načtení
$QuickMap	[#336]Mapa
$QuickRadio	[#337]Rádio
$Quicksave	[#338]Rychlé uložení
$QUICKSAVE	[#339]RYCHLÉ ULOŽENÍ
$Quicksaving...	[#340]Rychlé ukládám...
$QuickStats	[#341]Stav
$Quit	[#342]Konec
$QUIT	[#343]KONEC
$Quit to desktop?	[#344]Odejít na plochu?
$Quit to desktop?  Any unsaved progress will be lost.	[#345]Odejít na plochu?  Veškerý neuložený postup bude ztracen.
$Quit to main menu?  Any unsaved progress will be lost.	[#346]Odejít do hlavní nabídky?  Veškerý neuložený postup bude ztracen.
$Radaway	[#347]RADAWAY
$Radio	[#348]Rádio
$RADIO	[#349]RÁDIO
$RadioOff	[#350]VYPNOUT RÁDIO
$RADS	[#351]RAD.
$RANDOM	[#352]NÁHODNĚ
$Randomize	[#353]Zamíchat
$Rank:	[#354]Úroveň:
$READ
356	[#355]$ReadyWeapon	Tasit / Přebít
$RECIPES	[#357]NÁVODY
$REGISTRATION FORM	[#358]REGISTRAČNÍ FORMULÁŘ
$REMOVE	[#359]ODSTRANIT
$REMOVE ALL	[#360]ODSTRANIT VŠE
$RemoveMarker	[#361]Odstranit značku
$RENAME	[#362]PŘEJMENOVAT
$Repair	[#363]Opravit
$REPAIR	[#364]OPRAVIT
$REPAIR WITH	[#365]OPRAVIT S POUŽITÍM
$RepairConfirm	[#366]Opravit s použitím:
$Req:	[#367]Pož.: úroveň
$REQUIRES	[#368]POŽADUJE
$REQUIRES:	[#369]POŽADUJE:
$Reset	[#370]Resetovat
$RESET	[#371]RESETOVAT
$Reset settings to default values?	[#372]Vrátit nastavení na výchozí hodnoty?
$RESETTRADE	[#373]ZRUŠIT OBCHOD
$RESUME	[#374]POKRAČOVAT
$RETURN	[#375]ZPĚT
$rng	[#376]Dostřel
$ROF	[#377]Kadence
$ROTATE	[#378]OTOČIT
$Rotate Lock	[#379]Otočit zámek
$Rotate Pick	[#380]Otočit vlásenku
$Run	[#381]Běh
$SAFETY	[#382]OBRANA
$Sanctuary	[#383]Sanctuary
$SANCTUARY	[#384]DÍLNY
$SAVE	[#385]ULOŽIT
$SAVE CORRUPT	[#386]ULOŽENÁ POZICE JE POŠKOZENA
$Save in Pipboy	[#387]Ukládání v Pip-Boyovi
$SAVE OBSOLETE	[#388]ULOŽENÁ POZICE JE ZASTARALÁ
$Save on Rest	[#389]Ukládání při odpočinku
$Save on Travel	[#390]Ukládání při cestování
$Save on Wait	[#391]Ukládání při čekání
$Save over this game?	[#392]Chceš přepsat tuto herní pozici?
$SaveGameDeviceError	[#393]Nastala chyba při přístupu na úložné zařízení.  Prosím zkus znovu.
$SaveGameOutOfDiskSpace	[#394]Na úložném zařízení není dostatek místa pro uložní tvého postupu. Prosím smaž některé stávající uložené hry.
$Saving...	[#395]Ukládám...
$SCALE	[#396]VELIKOST
$SCAR	[#397]JIZVA
$Scrap	[#398]Sešrotovat
$SCRAP	[#399]SEŠROTOVAT
$SCULPT	[#400]TVAROVAT
$SecondaryAttack	[#401]Míření / Blokování
$Select	[#402]ZVOLIT
$SELECT	[#403]ZVOLIT
$SELECT CHARACTER	[#404]Vybrat postavu
$SelectL	[#405]Zvolit
$SELL	[#406]PRODAT
$SettingDifficultyGuideText	[#407]Otížnost má vliv na poškození a šanci potkat legendární nepřátele. Úroveň Přežití navíc výrazně snižuje rychlost léčení.
$Settings	[#408]Nastavení
$SETTINGS	[#409]NASTAVENÍ
$Settings: Audio	[#410]Nastavení: Zvuk
$Settings: Display	[#411]Nastavení: Obraz
$Settings: Gameplay	[#412]Nastavení: Hra
$SEX	[#413]POHLAVÍ
$Shadow Distance	[#414]Mizení stínů
$Show All Saves	[#415]Zobrazit všechny uložené pozice
$SHOW EFFECTS	[#416]ZOBRAZIT EFEKTY
$Show Floating Markers	[#417]Zobrazit ikony
$Show on Map	[#418]UKÁZAT NA MAPĚ
$ShowCaravans	[#419]UKÁZAT ZÁSOBOVACÍ CESTY
$ShowQuestSummary	[#420]ZOBRAZIT PŘEHLED
$SHRINK	[#421]ZMENŠIT
$Sit	[#422]Sednout
$SIZE	[#423]VELIKOST
$SKIN TONE	[#424]BARVA KŮŽE
$SKIP	[#425]PŘESKOČIT
$SleepPrompt	[#426]Spát
$SLOW	[#427]POMALÁ
$Sneak	[#428]Plížit se
$SORT	[#429]SEŘADIT
$SORT_ACC	[#430]SEŘADIT (PŘE)
$SORT_DMG	[#431]SEŘADIT (POŠ)
$SORT_RNG	[#432]SEŘADIT (DOS)
$SORT_ROF	[#433]SEŘADIT (KAD)
$SORT_VAL	[#434]SEŘADIT (HOD)
$SORT_WT	[#435]SEŘADIT (HM)
$SPACEBAR)	[#436]MEZERNÍK)
$SpecialConfirmResetPoints	[#437]Zrušit přidělene body a začít odznovu?
$SpecialIntroText	[#438]Pověz nám něco o sobě! Vault-Tec potřebuje vědět, jaký jsi občan, aby mohl zajistit tvou budoucí spokojenost.
$SpecialNameCharacter	[#439]Jméno obsahuje nepovolené znaky.
$SpecialNameEmpty	[#440]Pro pokračování musíš pojmenovat svoji postavu.
$SpecialPointsRemaining	[#441]Pro pokračování musíš použít všechny body.
$Specularity Fade	[#442]Mizení odlesků
$speed	[#443]Rychlost
$SPLOTCHY	[#444]SKVRNY
$Sprint	[#445]Sprint
$STAT	[#446]STAT.
$STATS	[#447]STATISTIKY
$STEAL	[#448]UKRÁST
$Stimpak	[#449]STIMPAK
$STORE	[#450]ODLOŽIT
$StoreAllJunk	[#451]ODLOŽIT VŠECHNU VETEŠ
$StrafeLeft	[#452]Úkrok vlevo
$StrafeRight	[#453]Úkrok vpravo
$StreamInstallCaption	[#454]Instaluji
$STRENGTH	[#455]SÍLA
$STYLE	[#456]STYL
$SUBJPrepend	[#457]VĚC:
$SUBTRACT	[#458]ODEČÍST
$Super Stimpak	[#459]Super Stimpak
$Survival	[#460]Přežití
$SWITCH	[#461]PŘEPNOUT
$SYRINGER	[#462]SYRINGER
$TAG FOR SEARCH	[#463]OZNAČIT PRO HLEDÁNÍ
$TAKE	[#464]VZÍT
$TAKE ALL	[#465]VZÍT VŠE
$TALK	[#466]PROMLUVIT
$That button is reserved.	[#467]Toto tlačítko je již obsazeno.
$THIN	[#468]TENKÝ
$TO PLACE	[#469]POLOŽIT
$TO STEAL	[#470]UKRÁST
$Toggle Edit	[#471]Mód editace
$Toggle Edit2	[#472]Mód umístění
$ToggleActive	[#473]Sledovat úkol
$ToggleAlwaysRun	[#474]Zapnout běhání
$TogglePOV	[#475]Pohled první osoby / Dílenský mód
$TOTAL COST	[#476]CELKOVÁ CENA
$TRADE	[#477]OBCHODOVAT
$TransferContainerLabel	[#478]ÚLOŽIŠTĚ
$TransferPlayerLabel	[#479]HRÁČ
$TuneToStation	[#480]NALADIT STANICI
$TYPE	[#481]TYP
$UNEQUIP	[#482]ODLOŽIT
$UNLOAD	[#483]VYJMOUT
$UNLOAD ALL	[#484]VYJMOUT VŠE
$val	[#485]Hodnota
$Variant	[#486]Varianta
$VATS	[#487]VATS
$VDSGPrepend	[#488]VDSG katalogové č.
$VendorCapsTooLow	[#489]Obchodník nemá dostatek zátek. Přesto přijmout obchod??
$Very Easy	[#490]Velmi jednoduchá
$VERY FAST	[#491]V. RYCHLÁ
$Very Hard	[#492]Velmi těžká
$VERY SLOW	[#493]V. POMALÁ
$Vibration	[#494]Vibrace
$Voice	[#495]Hlas
$Wait	[#496]ČEKEJ
$WaitPrompt	[#497]Čekej
$WATER	[#498]VODA
$WNPC_Caravan	[#499]ZÁSOBOVACÍ CESTA
$WNPC_Caravan_Header	[#500]Vybeer lokaci:
$WNPC_Command	[#501]PŘÍKAZ
$WNPC_Move	[#502]PŘESUN
$WORKSHOP	[#503]DÍLNA
$World Map	[#504]MAPA SVĚTA
$WS_Beds	[#505]Postele
$WS_Food	[#506]Jídlo
$WS_Happy	[#507]Spokojenost
$WS_People	[#508]Populace
$WS_Power	[#509]Energie
$WS_Safety	[#510]Obrana
$WS_Water	[#511]Voda
$wt	[#512]Hmotnost
$Yes	[#513]Ano
$YES	[#514]ANO
$YOU'VE_REACHED_LEVEL	[#515]Dosáhl jsi úrovně:
$ZOOM IN	[#516]PŘIBLÍŽIT
$ZOOM OUT	[#517]ODDÁLIT
