$0 results found.	Nenalezen žádný výsledek.
$CreateAcct_BNET_UNKNOWN_ERROR	Operaci nebylo možné dokončit.
$CreateAcct_BNET_USL_INTERNAL_OR_COMMUNICATION_ERROR	Chyba serveru. Prosím, zkus to znovu.
$CreateAcct_BNET_XB1_DOWNLOAD_FAILURE	Účet se nepodařilo vytvořit.
$CreateAcct_BNET_XB1_USER_ERROR	Nedaří se připojit k serverům Bethesda.net.
$CreateAcct_Needs1stPartyUpdate	Pro pokračování je vyžadována aktualizace.
$CreateAcct_PS4AuthFailed	Selhalo ověření PS4.
$CREATE ACCOUNT	VYTVOŘIT ÚČET
$Creating quick account...	Vytváření rychlého účtu...
$Creation Club	Creation Club
$CREATION CLUB	MODIFIKACE
$CREATION CLUB NEWS	CREATION CLUB NOVINKY
$CREATION CLUB CONTENT	CREATION CLUB OBSAH
$creation credits	Kredity
$Creation Credits Purchased	Kredity zakoupeny
$Creation Purchase Failed	Nákup kreditů selhal
$Creations	Modifikace
$CREATIONSNEW	MODIFIKACE •
$CreationsAllDownloaded	Všechny modifikace staženy
$CreationsDisableMissingCreationCheck	Vypnout kontrolu chybějících modifikací při načítání
$CreationsEnableMissingCreationCheck	Zapnout kontrolu chybějících modifikací při načítání
$CreationsEnableFailDependency	Tato modifikace nemůže být povolena, protože závisí na souborech, které nejsou přítomny nebo byly zakázany.
$CreationsGameUpdateRequired	Vyžadována aktualizace hry. Aktualizuj na nejnovější verzi pro přístup k online službám Bethesda.net.
$CreationsLoadOrderAbort	Toto pořadí načítání závisí na externích souborech. Nahrání přerušeno.
$CreationsLoadOrderArchive	ARCHIV POŘADÍ NAČÍTÁNÍ
$CreationsLoadOrderEmpty	Tvé pořadí načítání je prázdné.
$CreationsLoadOrderFail	Uložení pořadí načítání na Bethesda.net nebylo úspěšné.
$CreationsLoadOrderMustDownload	Tvé pořadí načítání vyžaduje modifikace, které nejsou nainstalovány.  Před pokračováním je musíš stáhnout.
$CreationsLoadOrderNotInLibrary	Následující modifikace nejsou ve tvé knihovně a nebylo je možné povolit:
$CreationsLoadOrderNoSave	Žádné pořadí načítání k dispozici.
$CreationsLoadOrderOverwrite	Současné pořadí načítání bude přepsáno. Chceš pokračovat?
$CreationsLoadOrderRestore	Obnovit pořadí načítání z Bethesda.net
$CreationsLoadOrderSave	Uložit pořadí načítání na Bethesda.net
$CreationsLoadOrderSuccess	Současné pořadí načítání bylo uloženo na Bethesda.net.
$CreationsNoDescriptionLO	Žádný popis není k dispozici
$CreationsNotEnoughSpaceToDownloadMod	Modifikaci nebylo možné stáhnout - Nedostatek místa!
$CreationsOptionDeleteAll	Smazat všechny modifikace
$CreationsOptionDisableAll	Zakázat všechny modifikace
$CreationsOptionDownloadAll	Stáhnout všechny modifikace do mé knihovny
$CreationsOptionDownloadAllCC	Stáhnout všechny vlastněné modifikace Creation Clubu
$CreationsOptionEnableAll	Povolit všechny modifikace
$CreationsOptionUpdateAll	Aktualizovat všechny nainstalované modifikace
$CreationsOptionUpdateAllNotAvailableMessage	Nejsou k dispozici žádné aktualizace
$CreationsReportingLegalText	Pro nahlášení modifikace navštiv https://creations.bethesda.net/fallout4,  vyhledej modifikaci, označ ji a klikni na tlačítko 'REPORT'.
$CreationsRequestFailData	S těmito záznamy je něco v nepořádku.  Operace zrušena.
$CreationsRequestFailIoBadData	Chybné záznamy v souboru. Operace zrušena.
$CreationsRequestFailIoNoSpace	Nedostatek místa. Operace selhala.
$CreationsRequestFailLogic	Došlo k výjimce. Operace zrušena.
$CreationsRequestFailMemory	Nedostatek paměti. Operace selhala.
$CreationsRequestFailModCannotBeDownloaded	Tato modifikce nemůže být stažena. Stahování zrušeno.
$CreationsRequestFailNetwork	Došlo k chybě spojení. Operace selhala.
$CreationsRequestFailNetworkException	Došlo k chybě spojení.  Operace selhala, zkus to později.
$CreationsRequestFailNotEnoughCredits	Nedostatek kreditů pro dokončení nákupu.  Transakce zrušena.
$CreationsRequestFailPermissions	Chybí oprávnění pro zápis do složky pro stahování.  Operace zrušena.
$CreationsRequestFailPurchaseError	Nákup nebylo z nějakého důvodu možné dokončit.  Transakce zrušena, zkus to později.
$CreationsRequestFailSkipped	Chybná data v souboru. Stahování přeskočeno.
$CreationsRequestFailUnknown	Došlo k problému. Nespecifikováno.
$CreationDownloadFailed			Došlo k problému při stahování modifikace.
$CreationsSaleText	levněji!
$CreationsSurePromptBuy	Opravdu chceš zakoupit:
$CreationsSurePromptDelete	Opravdu chceš smazat 
$CreationsSurePromptDeleteAll	Opravdu chceš smazat všechny své modifikace?
$CreationsSurePromptDisable	Opravdu chceš smazat 
$CreationsSurePromptDisableAll	Opravdu chceš zakázat všechny své modifikace?
$CreationsSurePromptDownload	Opravdu chceš stáhnout  
$CreationsSurePromptDownloadAll	Opravdu chceš stáhnout všechny své modifikace?
$CreationsSurePromptDownloadAllCC	Opravdu chceš stáhnout svůj veškerý obsah z Creation Clubu?
$CreationsSurePromptEnable	Opravdu chceš zapnout 
$CreationsSurePromptEnableAll	Opravdu chceš zapnout všechny své modifikace?
$CreationsSurePromptUpdate	Opravdu chceš aktualizovat 
$CreationsSurePromptUpdateAll	Opravdu chceš aktualizovat svůj veškerý nainstalovaný obsah 
$CreationsTurnMusicOn	Zapnout muziku
$CreationsTurnMusicOff	Vypnout muziku
$CreationsUnableToConnectChangeLoadOrder	Neblo možné se spojit s Bethesa.net servery.  Chceš upravit své pořadí načítání?
$Creations_CC_Content_LoadOrder_Desc	Obsah z Creation Clubu je vždy načten před ostatními modifikacemi a nemůže být zakázán.
$Creations_CC_Content_LoadOrder_Description_PC_XB	Creation Club je obsah pro Fallout 4 zahrnující nové předměty, schopnosti a herní mechaniky vytvořené Bethesda Game Studios a externími partnery, včetně nejlepších komunitních tvůrců. Creation Club obsah podléhá schvalování a je kompatibilní s hlavní hrou a oficiálními přídavky a achievementy.
$Creations_CC_Content_LoadOrder_Description_PS	Creation Club je obsah pro Fallout 4 zahrnující nové předměty, schopnosti a herní mechaniky vytvořené Bethesda Game Studios a externími partnery, včetně nejlepších komunitních tvůrců. Creation Club obsah podléhá schvalování a je kompatibilní s hlavní hrou a oficiálními přídavky a trofejemi.
$CreationPriceChange	Cena za tuto modifikaci byla změněna. Zkus to znovu.
$CreditRedemptionRedeem	REDEEM CREDITS\n\nAs special thanks for choosing the Starfield Premium Edition, your account will be issued 1,000 Creation Credits. These Credits may be spent in the Creations menu to enhance your Starfield experience with new content!\n\nPress [YES] to claim your Creation Credits.\n\nNOTE: Your Creation Credits will be applied to your current platform.
$CreditRedemptionJPRedeem	REDEEM CREDITS\n\nAs special thanks for choosing the Starfield Premium Edition, your account will be issued 1,000 Creation Credits. These Credits may be spent in the Creations menu to enhance your Starfield experience with new content!\n\nPress [YES] to claim your Creation Credits.\n\nIf you reside in Japan, the terms of this paragraph shall apply. Your account will be issued 1000 Creation Credits. The Creation Credits will be valid for SIX (6) months from their date of issuance.
$Creatures	Stvoření
$CREDITS	TITULKY
$Credits	Kredity
$CREW	AUTOŘI
$Crime	Zločin
$CRIT	KRIT
$Crosshair	Zaměřovač
$CURRENT MODS:	SOUČASNÉ MODIFIKACE:
$CYCLE DAMAGE	ZMĚNIT POŠKOZENÍ
$Cycle Parts	ZMĚNIT ČÁST
$Cycle Targets	ZMĚNIT CÍL
$Damage Resistance	Odolnost vůči zranění
$DANGER	NEBEZPEČÍ
$DATA	DATA
$Date (Ascending)	Datum (vzestupně)
$Date (Descending)	Datum (Sestupně)
$DeconnectedController	Připojte ovladač a stiskněte tlačítko A pro pokračování.
$Default	Výchozí
$DEFAULTS	VÝCHOZÍ
$DELETE	SMAZAT
$Delete	Smazat
$Delete this save?	Smazat tuto uloženou pozici?
$DeleteAllMods	Smazat všechny modifikace
$DeleteAllMods_Confirm	Skutečně chceš smazat všechny stažené modifikace?
$DeleteLibraryMod_Confirm	Opravdu chceš smazat vybranou modifikaci?  Pokud není modifikace registrována skrze Bethesda.net, nebude ji možné obnovit.
$DeleteMod_Confirm	Chceš smazat tuto modifikaci?
$Deleting	Mazání...
$DescriptionLabel	Popis:
$Desktop	Na plochu
$DESKTOP	NA PLOCHU
$Detach	ODPOJIT
$Details	Detaily
$DETAILS	DETAILY
$DetailsPageError_ExtractFail	Modifikaci se nepodařilo plně nainstalovat.
$DetailsPageError_ExtractInvalidMod	Modifikace není platná a nemůže být nainstalována.
$DetailsPageError_ExtractTooLarge	Pro instalaci modifikace není dostatek paměti.
$DetailsPageError_Generic	Operaci nebylo možné dokončit.
$DetailsPageError_ModDeleted	Modifikace již není dostupná.
$DetailsPageError_ModDownloadFail	Modifikaci se nepodařilo stáhnout.
$DetailsPageError_ModTooLarge	Pro stažení modifikace není dostatek paměti.
$Detrimental	Škodlivé
$Dialogue Camera	Dialogová kamera
$Dialogue Subtitles	Dialogové titulky
$DialogueNegative	Negativní
$DialogueNeutral	Neutrální
$DialoguePositive	Pozitivní
$DialogueQuestion	Otázka
$Difficulty	Obtížnost
$DirectMovement	Direct Movement
$DirectMovementSpeed	Direct Movement Speed
$DIRT		ŠPÍNA
$DisableAllMods	Zakázat všechny modifikace
$Disabled	Zakázáno
$DisableMod	Zakázat
$discountOFF	SLEVA
$DISMISS	PROPUSTIT
$DISPLAY	ZOBRAZENÍ
$Display	Zobrazení
$DLCCoast.esm	Far Harbor
$DLCDummy10thAnniversary.esm	Balíček modifikací
$DLCNukaWorld.esm	Nuka-World
$DLCRobot.esm	Automatron
$DLCThanksForBuying	Děkujeme za zakoupení Fallout 4: Balíček modifikací! Stáhnout a aktivovat?
$DLCUltraHighResolution.esm	Textury ve vysokém rozlišení
$DLCVisitCreationStore	Pozdější stačení a aktivace modifikací je možná přess nabídku Modifikace.
$DLCworkshop01.esm	Dílna Pustiny
$DLCworkshop02.esm	Dílna vynálezů
$DLCworkshop03.esm	Dílna Vault-Tecu
$dmg	Poškození
$DONE	HOTOVO
$Download	Stáhnout
$DOWNLOAD	STÁHNOUT
$Download All	Stáhnout vše
$Downloading...	Stahování...
$DOWNLOADING	STAHOVÁNÍ
$Downloads:	Staženo:
$DownloadSize:	Velikost ke stažení:
$DownloadStatus_ModSlotExceeded	Dosažen limit
$DownloadStatus_QueueExceeded	Plná fronta
$dr	Odoln. v. ZRA
$DRAW WEAPON	DRAW WEAPON
$DROP	ZAHODIT
$Drop:	Zahodit:
$Easy	Jednoduchá
$Edit	Upravit
$Effects	Efekty
$Email Address	E-mailová adresa
$EnableMod	Povolit
$ENDURANCE	ODOLNOST
$ENLARGE	ZVĚTŠIT
$ENTER	NASTOUPIT
$Enter name.	Zadej jméno.
$ENTER TEXT	ZADEJ TEXT
$EQUIP	VYBAVIT
$EULAHeader	Licenční ujednání platné pro obyvatele Severní a Latinské Ameriky:
$Execute	SPUSTIT:
$Execute Critical	PROVÉST KRITICKÝ ÚTOK
$Exit	Odejít
$EXIT	ODEJÍT
$EXIT AND CANCEL	ODEJÍT A ZRUŠIT
$EXIT POWER ARMOR	(HOLD) EXIT POWER ARMOR
$ExitSurvivalConfirmMessage	Opravdu chceš snížit obtížnost? Tuto postavu poté již nebude možné na obtížnost Přežití vrátit.
$EXTRAS	EXTRA
$EYE COLOR	BARVA OČÍ
$FACE	OBLIČEJ
$FACEPAINT	BARVA NA OBLIČEJI
$FACIAL HAIR	VOUSY
$FAST	RYCHLÁ
$FastTravel	Rychlé cestování
$FastTravelUndiscovered	Zatím jsi tuto lokaci neobjevil. Chceš umístit značku?
$FAV	OBLÍBENÉ
$FAVORITE	OBLÍBENÉ
$Favorites	Oblíbené
$Favorites:	Oblíbené:
$Featured	Výběr
$Follow	Sledovat
$Following	Označování oblíbené položky...
$FOOD	JÍDLO
$Footsteps	Kroky
$Forward	Dopředu
$FRECKLES	PIHY
$FREE	ZDARMA
$FreeIncludedCreations	Třikrát hurá za tuláky! Na počest nejnovější aktualizace Fallout 4 jsme do Commonwealthu přidali nové zbraně, oblečení a dílny.
$FreeSpace:	Volné místo:
$GALLERY	GALERIE
$Gamepad	Gamepad
$GAMEPLAY	HRA
$Gameplay	Hra
$General	Obecné
$General Subtitles	Obecné titulky
$Go	Jdi
$Grabbing Email...	Přebírání emailové adresy...
$Grass Fade	Mizení trávy
$Grid View	PŘEHLED PERKŮ
$HAIR		VLASY
$HAIR COLOR	BARVA VLASŮ
$HAPPINESS	SPOKOJENOST
$HAPPY	SPOKOJENOST
$Hard	Obtížná
$HardcorePreventedFastTravel	Do této lokace nemůžeš rychle cestovat. Chceš umístit značku?
$health	Zdraví
$HELP	NÁPOVĚDA
$HIDE EFFECTS	SKRÝT EFEKTY
$HideCaravans	SKRÝT ZÁSOBOVACÍ CESTY
$HideQuestSummary	SKRÝT SOUHRN
$HIGH	HIGH
$HighlightObjects	Highlight Objects
$HighestRated	Nejlépe hodnocené
$HighestRatedAllTime	Nejlépe hodnocené - celkově
$HighestRatedThisMonth	Nejlépe hodnocené - tento měsíc
$HighestRatedThisWeek	Nejlépe hodnocené - tento týden
$HighestRatedToday	Nejlépe hodnocené - dnes
$Hold Breath	Zadržet dech
$HIT	Hit
$HOLD UP	Počkej
$HOLD	HOLD
$HolotapePlay	PŘEHRÁT
$HolotapeStop	ZASTAVIT
$HOUR	HODINA
$hour.	hodinu.
$HOURS	HODIN
$hours.	hodin(y).
$HP	BZ
$HUD	HUD
$HUD Opacity	Průhlednost HUD
$HUDColorB	Barva HUD - mod.
$HUDColorG	Barva HUD - zel.
$HUDColorR	Barva HUD - čer.
$InFront	In Front
$IN/OUT	Vstup / Výstup
$IncludedCreations:	Zahrnuté modifikace:
$INGREDIENTS	INGREDIENCE
$Initializing...	Načítání...
$INSPECT	PROZKOUMAT
$INSTALLED	NAINSTALOVÁNO
$INSTALLED CONTENT	NAINSTALOVÁNO
$INTELLIGENCE	INTELIGENCE
$INV	INV.
$INVENTORY	INVENTÁŘ
$InventoryCategoryAid	POMOC
$InventoryCategoryAidMine	MOJE POMOC
$InventoryCategoryAmmo	MUNICE
$InventoryCategoryAmmoMine	MOJE MUNICE
$InventoryCategoryApparel	VÝSTROJ
$InventoryCategoryApparelMine	MOJE VÝSTROJ
$InventoryCategoryJunk	VETEŠ
$InventoryCategoryJunkMine	MOJE VETEŠ
$InventoryCategoryMisc	RŮZNÉ
$InventoryCategoryMiscMine	MOJE RŮZNÉ
$InventoryCategoryMods	MODIFIKACE
$InventoryCategoryModsMine	MOJE MODIFIKACE
$InventoryCategoryWeapons	ZBRANĚ
$InventoryCategoryWeaponsMine	MOJE ZBRANĚ
$INVENTORYMine	MŮJ INVENTÁŘ
$Invert Y	Převrátit osu Y
$INVEST	INVESTOVAT
$Item Fade	Mizení předmětů
$ITEM VIEW	ZOBRAZENÍ PŘEDMĚTŮ
$ItemInfo_AR	ODZ
$ItemInfo_CND	KON
$ItemInfo_DMG	POŠ
$ItemInfo_Stolen	UKRADENO
$ItemInfo_VAL	HOD
$ItemInfo_WT	HM
$ITEMS:	PŘEDMĚTY:
$Jump	Skákání
$JUMP	SKOK
$JUNK JET	VETEŠKVÉR
$LAND	PŘISTÁT
$LARGE	MOHUTNÉ
$Latest	Nejnovější
$LeaveMinigame	Ukončit hru?
$LeftHandedMode	Left Handed Mode
$LEVEL	ÚROVEŇ
$Level #	Úroveň #
$LEVEL UP	NOVÁ ÚROVEŇ
$LEVELUP	NOVÁ ÚROVEŇ
$Light Fade	Mizení světel
$Like	To se mi líbí
$Likes	Líbí se: 
$List View	SEZNAM
$LOAD	NAČÍST
$Load Order	Pořadí načítání
$Load Order Large	Pořadí načítání
$LoadOrderEnabledIndicator	%d z %d modifikací povoleno
$LoadOrderEmpty_Message	Tvůj seznam povolených modifikací je prázdný
$Load this game? All unsaved progress will be lost.	Načíst tuto hru? Přijdeš o veškerý neuložený postup.
$Loading EULA...	Načítání podmínek užití
$Loading mods...	Načítání modifikací...
$LoadingModsIntro	Hraj s modifikacemi na vlastní nebezpečí. Modifikace mohou působit problémy. Pomocí Pořadí načítání můžeš zakázat jednotlivé modifikace a k původní uložené pozici se můžeš vrátit kdykoliv přes Zvolit postavu v nabídce Načíst. Na stahování a hraní s modifikacemi se vztahují naše Podmínky užití. Pozor: Achievementy jsou vypnuty.
$LoadingModsIntro_PS4	Hraj s modifikacemi na vlastní nebezpečí. Modifikace mohou působit problémy. Pomocí Pořadí načítání můžeš zakázat jednotlivé modifikace a k původní uložené pozici se můžeš vrátit kdykoliv přes Zvolit postavu v nabídce Načíst. Na stahování a hraní s modifikacemi se vztahují naše Podmínky užití. Pozor: Trofeje jsou vypnuty.
$LoadingModsIntro_PS5	Hraj s modifikacemi na vlastní nebezpečí. Modifikace mohou působit problémy. Pomocí Pořadí načítání můžeš zakázat jednotlivé modifikace a k původní uložené pozici se můžeš vrátit kdykoliv přes Zvolit postavu v nabídce Načíst. Na stahování a hraní s modifikacemi se vztahují naše Podmínky užití. Pozor: Trofeje jsou vypnuty.
$LoadVanillaSaveWithMods	Jsou aktivní modifikace. Pozor: Achievementy jsou vypnuty.  Chceš pokračovat v načtení vybrané pozice?
$LoadVanillaSaveWithMods_Orbis	Jsou aktivní modifikace. Pozor: Trofeje jsou vypnuty.  Chceš pokračovat v načtení vybrané pozice?
$LoadVanillaSaveWithMods_Prospero	Jsou aktivní modifikace. Pozor: Trofeje jsou vypnuty.  Chceš pokračovat v načtení vybrané pozice?
$Local Map	MÍSTNÍ MAPA
$LocationCleared	[VYČIŠTĚNO]
$Lock	Zámek
$LockedContainer	[ZAMČENO]
$Lockpicks Left	(zbývající vlásenky)
$Log	Deník
$LOG	STAT.
$Logging you in...	Přihlašování...
$Login failed.	Přihlášení se nezdařilo.
$Login_CreateNew	VYTVOŘIT NOVÝ ÚČET
$LoginError_AgeRestrict	Rodičovský zámek zakazuje online sdílení médií.
$LoginError_AgeRestrictProspero	Rodičovský zámek zakazuje online sdílení médií.
$LoginError_BNET_BEAM_EMAIL_ADDRESS_ALREADY_TAKEN	Tento e-mail je již zabrán.  Prosím zadej své uživatelské jméno a heslo.  Pokud byl pod tímto e-mailem vytvořen rychlý účet, zkontroluj doručený verifikační e-mail.
$LoginError_BNET_BEAM_OBJECT_ALREADY_EXISTS_PSN	Tvůj účet Sony Entertainment Network neodpovídá účtu Sony Entertainment Network propojenému s tímto uživatelským jménem Bethesda.net. Použij odpovídající účet Sony Entertainment Network nebo kontaktuj zákaznickou podporu společnosti Bethesda.
$LoginError_BNET_BEAM_OBJECT_ALREADY_EXISTS_STEAM	Tvůj účet služby Steam se neshoduje s účtem služby Steam propojeným s tímto uživatelským jménem Bethesda.net. Použij prosím odpovídající účet služby Steam nebo kontaktuj zákaznickou podporu společnosti Bethesda.
$LoginError_BNET_BEAM_OBJECT_ALREADY_EXISTS_XBL	Tvůj účet Xbox neodpovídá účtu Xbox propojenému s tímto uživatelským jménem Bethesda.net. Použij odpovídající účet Xbox nebo kontaktuj zákaznickou podporu společnosti Bethesda.
$LoginError_BNET_BEAM_OPERATIONAL_ERROR	Operaci se nepodařilo dokončit.
$LoginError_BNET_CANNOT_CONNECT	Připojení k serverům Bethesda.net se nezdařilo.
$LoginError_BNET_CDP_AUTHENTICATION_FAILED	Přihlášení k serveru Bethesda.net se nezdařilo [CDP].
$LoginError_BNET_CLIENT_ERROR	Operaci se nepodařilo dokončit [CLI].
$LoginError_BNET_DNS_ERROR	Připojení k serverům Bethesda.net se nezdařilo [DNS].
$LoginError_BNET_INTERNAL	Připojení k serverům Bethesda.net se nezdařilo [INT].
$LoginError_BNET_INVALID_CREDENTIALS	Neplatné jméno nebo heslo.
$LoginError_BNET_NOT_FOUND	Připojení k serverům Bethesda.net se nezdařilo.
$LoginError_BNET_OUTSIDE_GRACE_PERIOD	Dokonči svoji registraci účtu pro Bethesda.net a potvrď svoji e-mailovou adresu.
